gameid,gamedate,home_teamid,away_teamid,home_win_avg_prev5,away_win_avg_prev5,home_points_avg_prev5,away_points_avg_prev5,home_opponent_points_avg_prev5,away_opponent_points_avg_prev5,home_assists_avg_prev5,away_assists_avg_prev5,home_blocks_avg_prev5,away_blocks_avg_prev5,home_steals_avg_prev5,away_steals_avg_prev5,home_fieldgoalsattempted_avg_prev5,away_fieldgoalsattempted_avg_prev5,home_fieldgoalspercentage_avg_prev5,away_fieldgoalspercentage_avg_prev5,home_threepointersattempted_avg_prev5,away_threepointersattempted_avg_prev5,home_threepointerspercentage_avg_prev5,away_threepointerspercentage_avg_prev5,home_freethrowsattempted_avg_prev5,away_freethrowsattempted_avg_prev5,home_freethrowspercentage_avg_prev5,away_freethrowspercentage_avg_prev5,home_reboundstotal_avg_prev5,away_reboundstotal_avg_prev5,home_foulspersonal_avg_prev5,away_foulspersonal_avg_prev5,home_turnovers_avg_prev5,away_turnovers_avg_prev5
22100112,2021-11-03,1610612764,1610612761,0.6,0.8,115.8,109.8,117.4,100.4,22.6,23,6.2,4.2,7,11,94.8,97.4,0.433,0.41899999999999993,36.4,38,0.34320000000000006,0.348,25.8,18.4,0.8202,0.8118000000000001,49.2,51.4,19,17.6,11.6,13
22100116,2021-11-03,1610612759,1610612742,0.4,0.6,117.2,101.2,110,95.2,30.4,22.6,4.8,5,8.6,8.4,97.8,90.4,0.47059999999999996,0.40119999999999995,36,41.4,0.3536,0.3202,18.8,18.4,0.6906000000000001,0.806,46.4,50,21,19.8,12.2,12.6
22100120,2021-11-04,1610612737,1610612762,0.8,0.6,115.2,107.8,98.6,101,27.8,18.8,6,5.6,9.8,8.2,91.8,87.2,0.46580000000000005,0.43099999999999994,34.8,43,0.40119999999999995,0.32999999999999996,17.8,22,0.8560000000000001,0.8358000000000001,49.4,49.4,19,18.6,14,17
22100121,2021-11-04,1610612748,1610612738,1,0.6,116.6,117,97.4,111.6,24.2,27.2,2.8,8.6,7.8,9.2,91.2,98,0.471,0.43520000000000003,33.8,43.4,0.3282,0.28280000000000005,23.2,23.6,0.8486,0.7798,50.6,51.2,20.4,24.2,14.4,13
22100122,2021-11-04,1610612756,1610612745,0.6,0,107.4,102.4,97.2,116,27,21,3.8,3.8,9.6,8.4,87.4,87.6,0.46980000000000005,0.4324,30.4,35,0.3236,0.304,20.2,25.4,0.7709999999999999,0.5983999999999999,50,48.4,16.4,21.4,15.8,21.4
22100119,2021-11-04,1610612765,1610612755,0.6,0.4,102.8,109.2,105.4,109.4,22.6,22.4,6.2,7.8,7.8,9.6,87.6,87.4,0.425,0.45859999999999995,35.8,33.8,0.2792,0.37839999999999996,24.2,21.4,0.7888,0.7926,45.2,42.4,18,17.2,15.2,14.2
22100123,2021-11-04,1610612747,1610612760,0.8,0,110.6,92.6,107.2,112.6,25.2,19.4,6.8,4,10.2,7.2,88.6,90.6,0.48240000000000005,0.38079999999999997,29.4,41.6,0.3896,0.276,18.8,16.8,0.7412000000000001,0.6881999999999999,42,44,19.8,15,17.2,15
22100127,2021-11-05,1610612761,1610612739,0.4,0.6,102.8,99.4,104.2,98,19.6,21.6,3.8,3.8,10.8,9.4,90.2,86.2,0.43019999999999997,0.42479999999999996,32.2,30.2,0.334,0.2844,21.2,22.8,0.7074,0.775,46.2,47.6,20,16,14.4,17.4
22100132,2021-11-05,1610612758,1610612766,0.6,0.6,110.6,109,109.2,109.2,23.4,23.8,4.2,3.6,8.2,11,91.2,89.8,0.4556,0.453,41.2,33,0.3166,0.36700000000000005,20.2,20.2,0.7278,0.7819999999999999,47.2,44,20,15.6,14,14.8
22100126,2021-11-05,1610612764,1610612763,0.6,0.4,116,108.6,115.8,114,23,25.6,6.2,4.6,5.8,11,92.6,94,0.4438000000000001,0.4288,36.6,41.2,0.36100000000000004,0.3458,25.2,19,0.8226000000000001,0.7558,49.4,48.6,18.4,20,12,18.2
22100131,2021-11-05,1610612757,1610612754,0.6,0.2,115,112.6,104.8,116.2,21.8,24.2,5,7.4,8,6.4,88,89.6,0.47759999999999997,0.4776000000000001,38.2,35.6,0.37,0.3464,22,19,0.734,0.7562,50.6,45.8,18,23.2,15.4,17.6
22100130,2021-11-05,1610612744,1610612740,0.8,0.2,110.4,101.4,97.6,109.2,30,21,5.6,4.8,9,8,90.4,88,0.46180000000000004,0.421,43.2,34.4,0.3942,0.35219999999999996,15.6,18.6,0.655,0.8454,53.4,49.2,18.6,18.8,19.8,20.4
22100128,2021-11-05,1610612749,1610612752,0.2,0.8,105.2,112.6,108,105.2,20.8,24.4,4.8,5.4,8,7,94.4,85,0.4252000000000001,0.46880000000000005,43.2,38.4,0.2954,0.41380000000000006,15.8,22.2,0.7678,0.7260000000000001,47.4,43.8,19,21.6,12.8,12.8
22100125,2021-11-05,1610612753,1610612759,0.2,0.4,97.8,103.2,107.2,106,20.4,26.6,5.8,4.6,8,9.2,84.2,89.8,0.42700000000000005,0.462,36.8,29.6,0.3426,0.3438,16.4,15,0.8150000000000001,0.6722,42,42.8,17.4,14.8,17.4,16.6
22100137,2021-11-06,1610612756,1610612737,0.6,0.2,108.2,102,104.6,112.2,26.8,22.8,4.8,3,9.4,5.4,87.8,94.4,0.4654,0.43220000000000003,28.4,28.4,0.33599999999999997,0.31639999999999996,21.8,16,0.7802,0.7342000000000001,48.2,50.6,17.8,17.2,15,13.2
22100138,2021-11-06,1610612757,1610612747,0.8,0.2,118.4,114.2,104.6,119.6,23.8,24,5.2,5.2,7.8,8,90.2,93.2,0.47940000000000005,0.4673999999999999,40.2,32.8,0.41580000000000006,0.321,20.2,22.2,0.749,0.7525999999999999,50,49.6,18.2,22,12.8,18
22100136,2021-11-06,1610612742,1610612738,0.8,0.8,111.4,109.2,108.6,99.6,23.8,23.6,5.8,7.6,7,8,90.4,90.2,0.45520000000000005,0.43260000000000004,40,40.2,0.3096,0.2872,25,23,0.6164,0.8019999999999999,48.2,49.2,21.6,22.6,12.4,12.6
22100135,2021-11-06,1610612741,1610612755,0.8,0.6,110.6,109.6,100.4,104.4,24.6,23,6,6,9.8,8,88.2,84.8,0.453,0.47400000000000003,26.8,33.4,0.38239999999999996,0.4064,24,20.6,0.8452,0.7828,42.6,44.2,16.6,17.2,11.2,13.4
